Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2011,Accel Partners, DCM, General Atlantic, Legend Capital Management, Renren Inc., Renren.com, Technology Crossover Ventures,,,,,,,,,,,,,,,,,,,,
4/21/2010,DCM, SAIF Partners,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2003,Athenian Venture Partners, GMG Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/2002,Athenian Venture Partners, GMG Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2009,Globespan Capital Partners, Spark Capital,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2004,Norwest Venture Partners, Storm Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2012,Merkle Inc., Technology Crossover Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2009,Fuse Capital, Prism Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2009,Fuse Capital, Prism Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2012,FreeAgent, Lightbank,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2011,Grotech Ventures, Intersouth Partners,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2014,Grotech Ventures, Intersouth Partners,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2010,Advanced Technology Ventures, Globespan Capital Partners, Hudson Clean Energy Partners, Silicor Materials, Inc.,,,,,,,,,,,,,,,,,,,,,,
3/31/2008,Good Energies Inc., Ventures West Capital, Yaletown Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2007,Ventures West Capital, Yaletown Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2014,K2 Ventures Capital, TXD Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2014,Battery Ventures, Silicon Valley Bank, Venrock,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2007,Core Capital Partners, Intersouth Partners,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2009,Boulder Ventures, Greylock Partners, Mobius Venture Capital, Mohr Davidow Ventures, Rally Software Development Corp, Vista Ventures,,,,,,,,,,,,,,,,,,,,,
7/18/2011,Lolapps, Six Waves Inc.,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2011,Insight Venture Partners, Nexon,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2001,ACE Management, Cross Atlantic Partners, Innovation Capital, Sofinnova Partners, TechFund Capital Europe Management,,,,,,,,,,,,,,,,,,,,,,
2/9/2004,ACE Management, CDC IXIS, Cross Atlantic Partners, Sofinnova Partners, TechFund Capital Europe Management,,,,,,,,,,,,,,,,,,,,,,
11/1/2013,Atomico, Earlybird Venture Capital, Sequoia Capital,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2010,Parkview, RHO Ventures, Signal Peak Ventures,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2007,Parkview, Signal Peak Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2012,Excelerate Labs, Pritzker Group Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2004,Chinese Founders Fund, CMF Asset Management Company, DragonTech Ventures Management, Legend Capital Management,,,,,,,,,,,,,,,,,,,,,,,
1/21/2010,Apax Partners, Comverse Technology, Intel Capital, Mobixell Networks Inc., Optibase, Siemens Venture Capital,,,,,,,,,,,,,,,,,,,,,
