total_box,budget,release_coverage,pindex
72217396,1.5e+07,0.0735509011203117,2857820
108385533,0,0.0971518873684589,2857822
2517600,0,0.0416831918775284,2857880
16015639,0,7.1831340013648e-05,2858606
24343673,0,0.024849203485075,2858622
70012847,1.2e+07,0.0769754424890323,2858740
20256975,0,0.0540014700159972,2858953
19365,0,0.000100110121133247,2859196
9377,0,2.81642539289134e-05,2859238
309404,0,0.000451071959244322,2859542
2277396,0,0.00451150816914332,2859558
22498520,1.9e+07,0.0188298587760592,2859835
48919043,0,0.100561929290564,2859933
17390770,0,0.0259535489037942,2859978
34673095,0,0.0634238192374078,2860023
40106,0,0.000126326427488631,2860092
18007317,1.3e+07,0.0539926044373376,2860809
2099,0,2.57771820384596e-05,2861241
108808,0,0.00135148663529883,2861282
25368,0,0.000274835098940636,2861348
87879,0,0.00030033036339974,2861443
16044025,0,0.0478168888435756,2861629
34368475,0,0.050619515851669,2861661
17419,0,7.72518926713705e-05,2861866
121179,0,0.00109934039576254,2862539
6330054,6e+06,0.010513102149694,2862543
13485455,0,0.000439007258253336,2862869
15428747,0,0.0309247094492168,2862910
24544,0,2.52130502748223e-05,2863228
2678414,0,0.00642479213907785,2863362
60522097,1.3e+08,0.0849740155906456,2863390
35639,0,5.6041246357319e-05,2863425
10609321,0,0.024369885995599,2863455
114264,0,0.000106134578645723,2863506
76325,0,0.00977269752628594,2863574
3967,0,0,2863652
11538,0,7.64662401549716e-05,2863779
28331233,6e+07,0.0773706600795938,2863969
3184,0,5.05305709954522e-05,2864013
72125,0,0.000149910053967619,2864025
108595,0,0.00104503861545128,2864099
2465960,0,0.0110779852502746,2864124
3451,0,2.49850089946032e-05,2864217
174496,0,0.000974415350789526,2864276
172450,0,0.000274835098940636,2864289
3911,0,2.57506308904568e-05,2864319
58510,0,0.00277343553023045,2864333
5884190,0,0.0439412652669137,2864612
4646,0,0.000275302833116428,2864616
47938330,2.8e+07,0.0945021037868163,2865042
23630159,2.6e+07,0.0815973651708522,2865043
148853,0,0.000565565161186071,2865435
25627836,0,0.0312981040818229,2865446
33024,0,7.64662401549716e-05,2866102
534100,0,0.000932882860168423,2866554
97362,0,0.000168302945301543,2866904
113966,0,0.000253036437246964,2867014
396519,0,0.00109934039576254,2867077
31053601,0,0.0798689846308894,2867190
23144499,0,0.0563313980856739,2867204
10224116,0,0.0488468742683212,2867206
172956409,8.5e+07,0.0935509179350385,2867243
71471,0,0.000260314981127164,2867253
1309987,0,0.000252130502748223,2867311
2850263,0,0.0383204557870912,2867392
5751882,0,0.0460489340177601,2867472
18848430,8e+06,0.0571391383574125,2868447
102990,0,0.000260314981127164,2869385
47305,0,0.000178421227028267,2869977
217350219,2.8e+07,0.0924486396446419,2870020
11829959,0,0.0526722949110356,2870446
3014696,0,0.0061899949469429,2870713
339379,6e+06,0.000403619118092227,2870814
14218698,3e+07,0.064796633941094,2871311
25888412,3.5e+07,0.0640663607483233,2871391
34297191,1.55e+08,0.0671058048579662,2871501
66954149,2.8e+07,0.0780108118930824,2871510
128222,0,0.000103108728153838,2871570
13399812,6e+07,0.0607931933580349,2871758
2021,0,2.50275302833116e-05,2871990
58203105,1.07e+08,0.0710020841547908,2872083
7331647,0,0.0136474342823549,2872406
334191110,2e+08,0.0946103238866397,2872620
48969,0,2.57771820384596e-05,2872664
77041381,1.7e+08,0.0936675461741425,2872711
12897,0,0.000325357893683051,2872864
25216243,0,0.0620865580007783,2873025
104526,0,0.00101954986873295,2873109
47795658,7.5e+07,0.0768554840734348,2873149
85160248,0,0.0687285530074249,2873201
25200412,4.5e+07,0.0792190248005506,2873236
8968684,0,0.000716408405858629,2873248
36733909,0,0.0521735737141965,2873503
256682,0,0.000500550605666233,2873548
7995,0,2.53036437246964e-05,2873776
33862903,0,0.0577320113170035,2873832
25916319,1.5e+07,0.0425633266083838,2873841
11975,0,2.65336446614307e-05,2874020
